Product category,Product/Service,Memo/Description,COSTO FALCON,costo jesus,,,,,
Heavy Duty Motor Oils,   00-HDMO-04,SAE 15W-50 Synthetic Blend HDMO API CJ-4/SN (Bulk),"5,12","6,4",,,,,
Heavy Duty Motor Oils,   00-HDMO-05,SAE 15W-40 Synthetic Blend HDMO (Bulk),"4,77","5,9625",,,,,
Heavy Duty Motor Oils,   01-HDMO-03,"SAE 20W-50 Synthetic Blend HDMO, API CJ-4/SN (5 gal Pail)","34,6","46,13333333",,,,,
Heavy Duty Motor Oils,   01-HDMO-04,"SAE 15W-50 Synthetic Blend HDMO, API CJ-4/SN (5 gal Pail)","34,6","46,13333333",,,,,
Heavy Duty Motor Oils,   01-HDMO-05,"SAE 15W-40 Synthetic Blend HDMO, API CI-4/SL (5 gal Pail)","32,85","43,8",,,,,
Heavy Duty Motor Oils,   02-HDMO-01,"SAE 10W-30 Synthetic Blend HDMO, API CK4/SN (55 gal Drum)","295,5","369,375",,,,,
Heavy Duty Motor Oils,   02-HDMO-03,"SAE 20W-50 Synthetic Blend HDMO, API CJ-4/SN (55 gal Drum)","329,6",412,,,,,
Heavy Duty Motor Oils,   02-HDMO-04,"SAE 15W-50 Synthetic Blend HDMO, API CJ-4/SN (55 gal Drum)","329,6",412,,,,,
Heavy Duty Motor Oils,   02-HDMO-05,"SAE 15W-40 Synthetic Blend HDMO, API Ck4 - 4/SL  Plus (55 Gal Drum)","310,5","388,125",,,,,
Heavy Duty Motor Oils,   04-HDMO-02,"SAE 15W-40 Synthetic Blend HDMO, API CK-4/SN (4 x 1 gal)","27,08","36,10666667",,,,,
Heavy Duty Motor Oils,   04-HDMO-04,"SAE 15W-50 Synthetic Blend HDMO, API CJ-4/SN (4 x 1 gal)","28,83","38,44",,,,,
Heavy Duty Motor Oils,   01-SHHD-02,Shell Rotella T4 15W40 (5 gal Pail),59,"62,10526316",,,,,
Heavy Duty Motor Oils,   01-CHHD-02,Chevron Delo 15W40 (5 gal Pail),60,"63,15789474",,,,,
Heavy Duty Motor Oils,   01-MBHD-02,Mobil Delvac SAE 15W-40 Synthetic Blend HDMO (5 gal Pail),60,"63,15789474",,,,,
Heavy Duty Motor Oils,   04-MBHD-02,Mobil Delvac SAE 15W-40 Synthetic Blend HDMO 1300 Super (4 x 1 gal),54,"56,84210526",,,,,
Heavy Duty Motor Oils,   04-CHHD-02,"Chevron Delo 400 SAE 15W-40 HDMO, API CK-4/SN (3 x 1 gal)",38,40,,,,,
Heavy Duty Motor Oils,   04-MTHD-04,Mystik JT-8 15W-50 (Case 3x2gal),80,"84,21052632",,,,,
Heavy Duty Motor Oils,   05-SHHD-02,Shell Rotella T4 SAE 15W-40 Synthetic Blend HDMO (3x1 gal),38,40,,,,,
Heavy Duty Motor Oils,   05-SHHD-01,Shell Rotella T5 SAE 10W-30 Synthetic Blend HDMO (3x1 gal),"41,1","43,26315789",,,,,
Heavy Duty Motor Oils,   05-SHHD-03,Shell Rotella T5 SAE 15W-40 Synthetic Blend HDMO (3x1 gal),"40,5","42,63157895",,,,,
Heavy Duty Motor Oils,   05-SHHD-07,Shell Rotella T6 SAE 15W-40 Synthetic Blend HDMO (3x1 gal),"55,55","58,47368421",,,,,
Heavy Duty Motor Oils,   02-SHHD-02,Shell Rotella 15W40 T4 (55 gal drum),600,640,,,,,650
Hydraulic Oils,   00-HYO-01,ISO 32 AW Hydraulic Oil (Bulk),4,5,,,,,
Hydraulic Oils,   00-HYO-02,ISO 46 AW Hydraulic Oil (Bulk),4,5,,,,,
Hydraulic Oils,   00-HYO-03,ISO 68 AW Hydraulic Oil (Bulk),4,5,,,,,
Hydraulic Oils,   01-HYO-01,ISO 32 AW Hydraulic Oil (5 gal Pail),28,"37,33333333",,,,,
